mode,name,hashcat_h_s,hashdog_h_s,delta_pct
0,"MD5",67188667749,66979277884,-0.3
10,"md5($pass.$salt)",68995817717,67645234614,-2.0
20,"md5($salt.$pass)",34750421579,34509216591,-0.7
100,"SHA1",24239376725,24164240028,-0.3
110,"sha1($pass.$salt)",24196140728,24478132023,+1.2
120,"sha1($salt.$pass)",16893853594,16884576242,-0.1
300,"MySQL4.1/MySQL5",9936405027,10044018072,+1.1
400,"phpass",20799528,20729583,-0.3
500,"md5crypt, MD5 (Unix), Cisco-IOS $1$ (MD5)",29686898,29905654,+0.7
600,"BLAKE2b-512",5304483107,5324707331,+0.4
900,"MD4",119382172405,120707094758,+1.1
1000,"NTLM",119306559895,122635888504,+2.8
1100,"Domain Cached Credentials (DCC), MS Cache",33006416694,33041665033,+0.1
1400,"SHA2-256",9045089547,9057668453,+0.1
1410,"sha256($pass.$salt)",9112037649,8930067436,-2.0
1420,"sha256($salt.$pass)",8086330533,8189063383,+1.3
1500,"descrypt, DES (Unix), Traditional DES",2533993357,2580972669,+1.9
1600,"Apache $apr1$ MD5, md5apr1, MD5 (APR)",29655039,30048042,+1.3
1700,"SHA2-512",3102688003,3106677293,+0.1
1710,"sha512($pass.$salt)",3108229597,3113371527,+0.2
1720,"sha512($salt.$pass)",2902154687,2921914812,+0.7
1800,"sha512crypt $6$, SHA512 (Unix)",475773,473897,-0.4
2100,"Domain Cached Credentials 2 (DCC2), MS Cache 2",898309,902853,+0.5
2611,"vBulletin < v3.8.5",20272917623,20246247665,-0.1
2711,"vBulletin >= v3.8.5",14141946819,13986622196,-1.1
3000,"LM",63974240634,63789623987,-0.3
3200,"bcrypt $2*$, Blowfish (Unix)",104588,105745,+1.1
5100,"Half MD5",43469689560,44027219770,+1.3
5500,"NetNTLMv1 / NetNTLMv1+ESS",65846837884,66197121360,+0.5
5600,"NetNTLMv2",4639751164,4609891127,-0.6
5700,"Cisco-IOS type 4 (SHA256)",8784532178,8756378814,-0.3
6800,"LastPass + LastPass sniffed",37731,37744,+0.0
7100,"macOS v10.8+ (PBKDF2-SHA512)",1336994,1336425,-0.0
7400,"sha256crypt $5$, SHA256 (Unix)",881900,869246,-1.4
8300,"DNSSEC (NSEC3)",8210215023,8250870516,+0.5
8900,"scrypt",3789,3804,+0.4
9200,"Cisco-IOS $8$ (PBKDF2-SHA256)",187628,161861,-13.7
9300,"Cisco-IOS $9$ (scrypt)",137272,136967,-0.2
9400,"MS Office 2007",367169,367546,+0.1
9500,"MS Office 2010",184101,183327,-0.4
9600,"MS Office 2013",28023,27980,-0.2
9700,"MS Office <= 2003 $0/$1, MD5 + RC4",1143064626,1100069619,-3.8
9800,"MS Office <= 2003 $3/$4, SHA1 + RC4",1223805452,1218826420,-0.4
10400,"PDF 1.1 - 1.3 (Acrobat 2 - 4)",1726134745,1733293517,+0.4
10500,"PDF 1.4 - 1.6 (Acrobat 5 - 8)",77169626,78008884,+1.1
10510,"PDF 1.3 - 1.6 (Acrobat 4 - 8) w/ RC4-40",76390553,77586381,+1.6
10600,"PDF 1.7 Level 3 (Acrobat 9)",8776594529,8768385779,-0.1
10700,"PDF 1.7 Level 8 (Acrobat 10 - 11)",209704,209858,+0.1
10810,"sha384($pass.$salt)",3002130007,3000737138,-0.0
10820,"sha384($salt.$pass)",2874957747,2871606796,-0.1
11300,"Bitcoin/Litecoin wallet.dat",14037,14024,-0.1
11500,"CRC32",18262650597,18312819047,+0.3
11600,"7-Zip",1143833,1145289,+0.1
11700,"GOST R 34.11-2012 (Streebog) 256-bit, big-endian",201682022,206554448,+2.4
11800,"GOST R 34.11-2012 (Streebog) 512-bit, big-endian",206466257,201081042,-2.6
12200,"eCryptfs",42974,42960,-0.0
12300,"Oracle T: Type (Oracle 12+)",337438,338228,+0.2
12500,"RAR3-hp",146721,146404,-0.2
13000,"RAR5",113530,114033,+0.4
13100,"Kerberos 5, etype 23, TGS-REP",1462963737,1468525078,+0.4
13400,"KeePass (KDBX v2/v3)",136326,136890,+0.4
13600,"WinZip",8826460,8899945,+0.8
14000,"DES (PT = $salt, key = $pass)",62712246087,62676001380,-0.1
14100,"3DES (PT = $salt, key = $pass)",8903284833,8849203882,-0.6
15300,"DPAPI masterkey file v1 (context 1 and 2)",191574,191684,+0.1
15600,"Ethereum Wallet, PBKDF2-HMAC-SHA256",3641470,3621199,-0.6
15700,"Ethereum Wallet, SCRYPT",16,17,+6.2
15900,"DPAPI masterkey file v2 (context 1 and 2)",108380,108486,+0.1
16300,"Ethereum Pre-Sale Wallet, PBKDF2-HMAC-SHA256",1850592,1846060,-0.2
16600,"Electrum Wallet (Salt-Type 1-3)",2036604766,2034890890,-0.1
16700,"FileVault 2",188924,188331,-0.3
17010,"GPG (AES-128/AES-256 (SHA-1($pass)))",13218439,13288807,+0.5
17030,"GPG (AES-128/AES-256 (SHA-256($pass)))",5959752,5955021,-0.1
17200,"PKZIP (Compressed)",578501646,595747704,+3.0
17220,"PKZIP (Compressed Multi-File)",16734134059,16178888894,-3.3
17400,"SHA3-256",2020369251,2048991721,+1.4
17600,"SHA3-512",2022802929,2019406765,-0.2
18100,"TOTP (HMAC-SHA1)",4126602753,4038378986,-2.1
18300,"Apple File System (APFS)",186579,186523,-0.0
18700,"Java Object hashCode()",625266248667,623465631678,-0.3
20500,"PKZIP Master Key",231092429885,232621343461,+0.7
21700,"Electrum Wallet (Salt-Type 4)",1345797,1337023,-0.7
21800,"Electrum Wallet (Salt-Type 5)",1338172,1340431,+0.2
22000,"WPA-PBKDF2-PMKID+EAPOL",1119737,1113789,-0.5
22100,"BitLocker",4106,4104,-0.0
22500,"MultiBit Classic .key (MD5)",2198359715,2217857609,+0.9
22700,"MultiBit HD (scrypt)",3797,3804,+0.2
22921,"RSA/DSA/EC/OpenSSH Private Keys ($6$)",6228020572,6404065636,+2.8
23100,"Apple Keychain",4545048,4507655,-0.8
23400,"Bitwarden",37777,37783,+0.0
23800,"RAR3-p (Compressed)",143990,143749,-0.2
25500,"Stargazer Stellar Wallet XLM",912649,904156,-0.9
26100,"Mozilla key4.db",375787,376521,+0.2
26401,"AES-128-ECB NOKDF (PT = $salt, key = $pass)",8401317102,8344197089,-0.7
26403,"AES-256-ECB NOKDF (PT = $salt, key = $pass)",5961938732,5978387945,+0.3
26610,"MetaMask Wallet (short hash, plaintext check)",371891,371684,-0.1
27700,"MultiBit Classic .wallet (scrypt)",3739,3768,+0.8
28100,"Windows Hello PIN/Password",369168,371521,+0.6
29341,"TrueCrypt RIPEMD160 + XTS 512 bit + boot-mode",1459298,1466046,+0.5
